{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/BaseOpenmrsObjectTest.java', 'test_name': 'equals_shouldReturnfalseIfHibernateProxyOfOneThingIsComparedtoHibernateProxyofSomething'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/PersonTest.java', 'test_name': 'getPersonAddress_shouldGetVoidedPersonAddressIfPersonIsVoidedAndNotvoidedAddressDoesNotExist'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/aop/RequiredDataAdviceTest.java', 'test_name': 'getChildCollection_shouldGetValueOfGivenChildCollectionOnGivenField'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/CohortServiceTest.java', 'test_name': 'saveCohort_shouldUpdateAnExistingCohort'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/CohortServiceTest.java', 'test_name': 'getCohort_shouldGetCohortGivenAName'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/CohortServiceTest.java', 'test_name': 'addPatientToCohort_shouldAddAPatientAndSaveTheCohort'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/CohortServiceTest.java', 'test_name': 'removePatientFromCohort_shouldSaveCohortAfterRemovingPatient'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/ConceptServiceTest.java', 'test_name': 'saveConcept_shouldGenerateIdForNewConceptIfNoneIsSpecified'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/ConceptServiceTest.java', 'test_name': 'getConceptByMapping_shouldNotReturnRetiredConcept'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/ConceptServiceTest.java', 'test_name': 'getDrugs_shouldReturnDrugsByDrugId'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/ConceptServiceTest.java', 'test_name': 'getConceptDatatypeByName_shouldNotReturnAFuzzyMatchOnName'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/ConceptServiceTest.java', 'test_name': 'getConceptMapTypes_shouldReturnSortedList'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/ConceptServiceTest.java', 'test_name': 'getDrugByMapping_shouldReturnNullIfNoMatchFound'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/ConceptServiceTest.java', 'test_name': 'getAllConceptAttributeTypes_shouldReturnAllConceptAttributeTypesIncludingRetiredOnes'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/EncounterServiceTest.java', 'test_name': 'saveEncounter_shouldNotCascadeToExistingOrder'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/EncounterServiceTest.java', 'test_name': 'transferEncounter_shouldVoidGivenEncounter'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/FormServiceTest.java', 'test_name': 'getFormsContainingConcept_shouldGetAllFormsForConcept'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/LocationServiceTest.java', 'test_name': 'getLocations_shouldReturnEmptyListWhenNoLocationMatchTheNameFragment'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/LocationServiceTest.java', 'test_name': 'getLocationsByTag_shouldReturnEmptyListWhenNoLocationsHasTheGivenTag'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/LocationServiceTest.java', 'test_name': 'getLocationTags_shouldReturnEmptyListWhenNoLocationTagMatchGivenSearchString'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/LocationServiceTest.java', 'test_name': 'getAllLocationAttributeTypes_shouldReturnAllLocationAttributeTypesIncludingRetiredOnes'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/LocationServiceTest.java', 'test_name': 'retireLocation_shouldNotRetireIndependentField'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/ObsServiceTest.java', 'test_name': 'saveObs_shouldVoidTheGivenObsInTheDatabase'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/ObsServiceTest.java', 'test_name': 'saveObs_shouldCreateVeryBasicObsAndAddNewObsId'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/ObsServiceTest.java', 'test_name': 'saveObs_shouldReturnADifferentObjectWhenUpdatingAnObs'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/ObsServiceTest.java', 'test_name': 'unvoidObs_shouldUnsetVoidedBitOnGivenObs'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/ObsServiceTest.java', 'test_name': 'voidObs_shouldSetVoidedBitOnGivenObs'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/OrderServiceTest.java', 'test_name': 'getOrderFrequencyByConcept_shouldReturnTheOrderFrequencyThatMatchesTheSpecifiedConcept'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/OrderServiceTest.java', 'test_name': 'getCareSettingByUuid_shouldReturnTheCareSettingWithTheSpecifiedUuid'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/OrderServiceTest.java', 'test_name': 'saveOrder_shouldSetTheOrderNumberReturnedByTheConfiguredGenerator'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/OrderServiceTest.java', 'test_name': 'getOrderType_shouldReturnNullIfNoOrderTypeObjectFoundWithGivenId'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/PatientServiceAllergyTest.java', 'test_name': 'setAllergies_shouldSetTheNonCodedConceptForNonCodedAllergenIfNotSpecified'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/PatientServiceTest.java', 'test_name': 'mergePatients_shouldVoidNonPreferredPersonObject'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/PatientServiceTest.java', 'test_name': 'getPatientByExample_shouldReturnNullWhenNoPatientMatchesGivenPatientToMatch'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/PatientServiceTest.java', 'test_name': 'getPatientIdentifierType_shouldReturnNullWhenPatientIdentifierIdentifierDoesNotExist'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/PatientServiceTest.java', 'test_name': 'voidPatient_shouldReturnNullWhenPatientIsNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/PersonServiceTest.java', 'test_name': 'getPerson_shouldReturnNullWhenNoPersonHasTheGivenId'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/PersonServiceTest.java', 'test_name': 'purgeRelationship_shouldDeleteRelationshipFromTheDatabase'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/PersonServiceTest.java', 'test_name': 'getPersonNameById_shouldNotFindAnyObjectGivenInvalidId'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/PersonServiceTest.java', 'test_name': 'unvoidPerson_shouldUnvoidPatient'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/PersonServiceTest.java', 'test_name': 'voidPerson_shouldVoidPatient'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/ProgramWorkflowServiceTest.java', 'test_name': 'getProgramByName_shouldReturnNullWhenNoProgramForGivenName'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/ProviderServiceTest.java', 'test_name': 'getProviders_shouldFindProviderByIdentifier'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/ProviderServiceTest.java', 'test_name': 'getCountOfProviders_shouldExcludeRetiredProviders'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/context/ContextTest.java', 'test_name': 'getRegisteredComponent_shouldReturnBeanHaveBeenRegisteredOfThePassedTypeAndName'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/context/DaemonTest.java', 'test_name': 'executeScheduledTask_shouldNotBeCalledFromOtherMethodsOtherThanTimerSchedulerTask'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/db/ConceptDAOTest.java', 'test_name': 'isConceptMapTypeInUse_shouldReturnTrueIfAMapTypeHasAConceptMapOrMoreUsingIt'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/db/ConceptDAOTest.java', 'test_name': 'isConceptReferenceTermInUse_shouldReturnTrueIfATermHasAConceptReferenceTermMapOrMoreUsingIt'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/db/ConceptDAOTest.java', 'test_name': 'isConceptMapTypeInUse_shouldReturnFalseIfAMapTypeHasNoMapsUsingIt'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/db/ConceptDAOTest.java', 'test_name': 'isConceptReferenceTermInUse_shouldReturnFalseIfATermHasNoMapsUsingIt'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/db/PersonDAOTest.java', 'test_name': 'getPersonName_shouldNotGetPersonNameGivenInvalidId'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/db/PersonDAOTest.java', 'test_name': 'getSavedPersonAttributeTypeSearchable_shouldFetchSearchablePropertyForAPersonAttributeTypeBypassingCache'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/db/ProgramWorkflowDAOTest.java', 'test_name': 'saveProgram_shouldAlsoSaveOutcomesConcept'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/db/hibernate/HibernateAdministrationDAOTest.java', 'test_name': 'validate_shouldPassValidationIfFieldLengthsAreCorrect'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/db/hibernate/HibernatePersonDAOTest.java', 'test_name': 'getPeople_shouldNotGetVoided'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/db/hibernate/HibernateProviderDAOTest.java', 'test_name': 'getProvidersByPerson_shouldListRetiredProvidersAtTheEnd'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/db/hibernate/PatientSearchCriteriaTest.java', 'test_name': 'isShortName_shouldRecogniseShortName'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/db/hibernate/ProviderDAOTest.java', 'test_name': 'getProvidersByPerson_shouldListRetiredProvidersAtTheEnd'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/handler/BaseRetireHandlerTest.java', 'test_name': 'handle_shouldSetTheRetiredBit'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/handler/BaseRetireHandlerTest.java', 'test_name': 'handle_shouldSetRetiredBy'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/handler/BaseUnretireHandlerTest.java', 'test_name': 'handle_shouldUnsetTheRetiredBit'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/handler/BaseUnretireHandlerTest.java', 'test_name': 'handle_shouldNotActOnRetiredObjectsWithADifferentDateRetired'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/handler/BaseUnvoidHandlerTest.java', 'test_name': 'handle_shouldUnsetTheVoidedBit'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/handler/BaseUnvoidHandlerTest.java', 'test_name': 'handle_shouldNotActOnObjectsWithADifferentDateVoided'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/handler/BaseVoidHandlerTest.java', 'test_name': 'handle_shouldSetTheVoidedBit'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/handler/BaseVoidHandlerTest.java', 'test_name': 'handle_shouldSetVoidedBy'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/handler/PersonUnvoidHandlerTest.java', 'test_name': 'handle_shouldUnsetThePersonVoidedBit'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/handler/PersonUnvoidHandlerTest.java', 'test_name': 'handle_shouldNotActOnObjectsWithADifferentPersonDateVoided'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/handler/PersonVoidHandlerTest.java', 'test_name': 'handle_shouldSetThePersonVoidedBit'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/handler/PersonVoidHandlerTest.java', 'test_name': 'handle_shouldSetPersonVoidedBy'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/impl/ConceptServiceImplTest.java', 'test_name': 'getDrugs_shouldReturnListOfMatchingDrugs'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/impl/ConceptServiceImplTest.java', 'test_name': 'retireDrug_shouldRetireTheGivenDrug'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/impl/ConceptServiceImplTest.java', 'test_name': 'unretireDrug_shouldMarkDrugAsNotRetired'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/api/impl/ConceptServiceImplTest.java', 'test_name': 'getLocalesOfConceptNames_shouldReturnAListOfMatchingLocales'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/liquibase/ChangeLogDetectiveTest.java', 'test_name': 'shouldIgnoreDisableForeignKeyChecks'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/liquibase/ChangeLogDetectiveTest.java', 'test_name': 'shouldNotIgnoreDisableForeignKeyChecksForFilenameOtherThanLiquibaseCoreData_1_9_x'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/liquibase/ChangeLogDetectiveTest.java', 'test_name': 'shouldNotIgnoreEnableForeignKeyChecksForFilenameOtherThanLiquibaseCoreData_1_9_x'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/module/ModuleFactoryTest.java', 'test_name': 'loadModule_shouldLoadModuleIfItIsCurrentlyNotLoaded'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/module/ModuleUtilTest.java', 'test_name': 'file2url_shouldReturnNullIfFileIsNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/scheduler/SchedulerServiceTest.java', 'test_name': 'getTaskByUuid_shouldReturnNullWhenUuidDoesNotExist'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/DoubleRangeTest.java', 'test_name': 'contains_shouldReturnTrueIfParameterIsInRange'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/LocaleUtilityTest.java', 'test_name': 'getLocalesInOrder_shouldAlwaysHaveEnglishIncludedInTheReturnedCollection'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isInNormalNumericRange_shouldReturnFalseIfHiNormalIsNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isInNormalNumericRange_shouldReturnFalseIfLowNormalIsNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isInNormalNumericRange_shouldReturnTrueIfValueIsInRange'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isInNormalNumericRange_shouldReturnFalseIfValueIsBelowRange'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isInNormalNumericRange_shouldReturnTrueIfValueIsEqualToHiRangeLimit'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isInNormalNumericRange_shouldReturnTrueIfValueIsEqualToLowRangeLimit'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isInCriticalNumericRange_shouldReturnFalseIfLowCriticalIsNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isInCriticalNumericRange_shouldReturnTrueIfValueIsInRange'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isInCriticalNumericRange_shouldReturnFalseIfValueIsBelowRange'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isInCriticalNumericRange_shouldReturnTrueIfValueIsEqualToHiRangeLimit'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isInCriticalNumericRange_shouldReturnTrueIfValueIsEqualToLowRangeLimit'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isInAbsoluteNumericRange_shouldReturnFalseIfHiAbsoluteIsNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isInAbsoluteNumericRange_shouldReturnFalseIfValueIsAboveRange'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isInAbsoluteNumericRange_shouldReturnTrueIfValueIsEqualToLowRangeLimit'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isValidNumericValue_shouldReturnTrueIfLowAbsoluteIsNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isValidNumericValue_shouldReturnFalseIfValueIsBelowRange'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isValidNumericValue_shouldReturnTrueIfValueIsEqualToHiRangeLimit'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/OpenmrsUtilUnitTest.java', 'test_name': 'isValidNumericValue_shouldReturnTrueIfValueIsEqualToLowRangeLimit'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/util/ReflectTest.java', 'test_name': 'getInheritedFields_shouldReturnOnlyTheSubClassFieldsOfGivenParameterizedClass'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/validator/CohortValidatorTest.java', 'test_name': 'validate_shouldPassIfMembershipStartDateIsAfterEndDate'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/validator/ConceptMapTypeValidatorTest.java', 'test_name': 'validate_shouldFailIfTheConceptMapTypeNameIsADuplicate'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/validator/ConceptMapTypeValidatorTest.java', 'test_name': 'validate_shouldFailIfTheNameIsNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/validator/ConceptReferenceTermValidatorTest.java', 'test_name': 'validate_shouldFailIfTheCodeIsAWhiteSpaceCharacter'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/validator/ConceptReferenceTermValidatorTest.java', 'test_name': 'validate_shouldFailIfTheCodeIsNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/validator/ConceptReferenceTermValidatorTest.java', 'test_name': 'validate_shouldFailIfTheConceptSourceIsNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/validator/ConceptReferenceTermValidatorTest.java', 'test_name': 'validate_shouldFailIfTheNameIsAnEmptyString'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/validator/ConceptReferenceTermValidatorTest.java', 'test_name': 'validate_shouldFailIfTheNameIsNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/validator/ConceptReferenceTermValidatorTest.java', 'test_name': 'validate_shouldFailIfAConceptReferenceTermMapHasNoConceptMapType'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/validator/ConceptReferenceTermValidatorTest.java', 'test_name': 'validate_shouldFailIfATermIsMappedToItself'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/validator/DiagnosisValidatorTest.java', 'test_name': 'validate_shouldFailValidationIfEncounterIsNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/validator/DiagnosisValidatorTest.java', 'test_name': 'validate_shouldFailValidationIfDiagnosisIsNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/validator/DiagnosisValidatorTest.java', 'test_name': 'validate_shouldFailValidationIfCertaintyIsNull'}
{'file_path': 'projects/toga/SUBPROJECT/openmrs-core/api/src/test/java/org/openmrs/validator/DiagnosisValidatorTest.java', 'test_name': 'validate_shouldFailValidationIfRankIsNonPositive'}
