{'file_path': 'projects/atlas/SUBPROJECT/james-project/backends-common/cassandra/src/test/java/org/apache/james/backends/cassandra/migration/CassandraMigrationServiceTest.java', 'test_name': 'getCurrentVersionShouldReturnCurrentVersion'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/plugin/quota-mailing/src/test/java/org/apache/james/mailbox/quota/mailing/aggregates/UserQuotaThresholdsTest.java', 'test_name': 'asAggregationKeyShouldParseAsOriginalPojo'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/plugin/quota-mailing/src/test/java/org/apache/james/mailbox/quota/mailing/aggregates/UserQuotaThresholdsTest.java', 'test_name': 'fromKeyShouldThrowWhenMoreThan3Parts'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/plugin/quota-search/src/test/java/org/apache/james/quota/search/QuotaClauseTest.java', 'test_name': 'lessThanClauseShouldInstanciate'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/AbstractCombinationManagerTest.java', 'test_name': 'getMessageCountFromMessageManagerShouldReturnDataSetInMailboxesFromMessageIdManager'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/AbstractCombinationManagerTest.java', 'test_name': 'getMessageFromMessageIdManagerShouldReturnMessageWhenAppendMessageFromMessageManager'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/AbstractCombinationManagerTest.java', 'test_name': 'getMetadataFromMessageManagerShouldReturnHighestModSeqWhenSetInMailboxesFromMessageIdManager'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/AbstractCombinationManagerTest.java', 'test_name': 'getUidsShouldInteractWellWithDelete'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/AbstractMessageIdManagerStorageTest.java', 'test_name': 'setInMailboxesShouldAddAndRemoveMailboxes'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/AbstractMessageIdManagerStorageTest.java', 'test_name': 'deleteAllShouldReturnNotDeleteWhenDeletingOnOtherSession'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/AbstractMessageManagerTest.java', 'test_name': 'getMetadataShouldListUsersAclWhenShared'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/StoreMailboxMessageResultIteratorTest.java', 'test_name': 'nextShouldReturnFirstElement'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/mail/model/AnnotationMapperTest.java', 'test_name': 'annotationShouldBeCaseInsentive'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/mail/model/MailboxMapperTest.java', 'test_name': 'createShouldSetAMailboxIdForMailbox'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/mail/model/MailboxMapperTest.java', 'test_name': 'renameShouldRenameTheMailbox'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/mail/model/MessageIdMapperTest.java', 'test_name': 'findShouldReturnEmptyWhenIdListIsEmpty'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/mail/model/MessageMapperTest.java', 'test_name': 'mailboxUnSeenCountShouldBeDecrementedAfterAMessageIsMarkedUnSeen'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/mail/model/MessageMapperTest.java', 'test_name': 'mailboxUnSeenCountShouldBeDecrementedAfterAMessageDelete'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/mail/model/MessageMapperTest.java', 'test_name': 'addShouldUpdateRecentWhenNeeded'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/mail/model/MessageMapperTest.java', 'test_name': 'retrieveMessagesMarkedForDeletionInMailboxShouldReturnEmptyResultOnEmptyMailbox'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/mail/model/MessageMapperTest.java', 'test_name': 'copyShouldIncrementUid'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/mail/model/MessageMapperTest.java', 'test_name': 'copyOfSeenMessageShouldNotIncrementUnSeenMessageCount'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/mail/model/MessageMapperTest.java', 'test_name': 'subTypeShouldBeWellStored'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/mail/model/MessageMapperTest.java', 'test_name': 'moveListOfMessagesShouldSetNewSaveDate'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/mail/model/MessageMoveTest.java', 'test_name': 'movingAMessageShouldWork'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/mail/model/MessageWithAttachmentMapperTest.java', 'test_name': 'messagesRetrievedUsingFetchTypeHeadersShouldHaveAttachmentsEmptyWhenOneAttachment'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/mail/model/MessageWithAttachmentMapperTest.java', 'test_name': 'messagesRetrievedUsingFetchTypeFullShouldHaveAttachmentsEmptyWhenNoAttachment'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/quota/GenericMaxQuotaManagerTest.java', 'test_name': 'getMaxStorageShouldReturnDomainWhenNoValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/quota/GenericMaxQuotaManagerTest.java', 'test_name': 'getDomainMaxStorageShouldReturnProvidedValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/search/AbstractMessageSearchIndexTest.java', 'test_name': 'multimailboxSearchShouldReturnUidOfMessageMarkedAsSeenInOneMailbox'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/search/AbstractMessageSearchIndexTest.java', 'test_name': 'multimailboxSearchShouldReturnUidOfMessageWithExpectedFromInTwoMailboxes'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/store/src/test/java/org/apache/james/mailbox/store/user/SubscriptionMapperTest.java', 'test_name': 'findMailboxSubscriptionForUserShouldReturnSubscription'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/tools/indexer/src/test/java/org/apache/mailbox/tools/indexer/CassandraReIndexerImplTest.java', 'test_name': 'fullReindexingShouldUpdateDetailsUponFailure'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailbox/tools/indexer/src/test/java/org/apache/mailbox/tools/indexer/CassandraReIndexerImplTest.java', 'test_name': 'userMailboxReindexingShouldUpdateDetailsUponFailure'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/amqp/src/test/java/org/apache/james/transport/mailets/AmqpForwardAttributeTest.java', 'test_name': 'getMailetInfoShouldReturnInfo'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/api/src/test/java/org/apache/mailet/ContractMailTest.java', 'test_name': 'newMailShouldHaveNoAttribute'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/api/src/test/java/org/apache/mailet/ContractMailTest.java', 'test_name': 'shouldHaveOneAttributeMap'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/api/src/test/java/org/apache/mailet/ContractMailTest.java', 'test_name': 'getAttributeShouldReturnNullWhenNoAssociatedValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/api/src/test/java/org/apache/mailet/ContractMailTest.java', 'test_name': 'setAttributeShouldReturnLatestValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/api/src/test/java/org/apache/mailet/ContractMailTest.java', 'test_name': 'getAttributeShouldNotReturnedNotStoreRemovedItems'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/icalendar/src/test/java/org/apache/james/transport/mailets/ICALToJsonAttributeTest.java', 'test_name': 'getMailetInfoShouldReturnExpectedValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/mailets/ContactExtractorTest.java', 'test_name': 'getMailetInfoShouldReturnInfo'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/mailets/PostmasterAliasTest.java', 'test_name': 'serviceShouldNotDuplicatePostmaster'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/mailets/RemoveAllMailAttributesTest.java', 'test_name': 'getMailetInfoShouldReturnValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/mailets/ReplaceContentTest.java', 'test_name': 'getMailetInfoShouldReturnValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/mailets/utils/MimeMessageModifierTest.java', 'test_name': 'replaceSubjectShouldReplaceTheSubjectWhenSubjectIsPresent'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/matchers/AbstractHasMailAttributeTest.java', 'test_name': 'testAttributeIsNotMatched'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/matchers/AtMostTest.java', 'test_name': 'shouldMatchWhenAttributeNotSet'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/matchers/HasAttachmentTest.java', 'test_name': 'multipartWithOneAttachmentShouldBeMatched'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/matchers/HasAttachmentTest.java', 'test_name': 'attachmentMailsShouldBeMatched'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/matchers/HasHeaderTest.java', 'test_name': 'matchShouldReturnAddressesWhenGoodHeaderNameAndValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/matchers/HasMailAttributeWithValueRegexTest.java', 'test_name': 'getMatcherConfigShouldNotReturnNull'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/matchers/HasMailAttributeWithValueTest.java', 'test_name': 'testAttributeIsNotMatchedCauseValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/matchers/NESSpamCheckTest.java', 'test_name': 'testNESSpamCheckMatched'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/matchers/RecipientIsLocalTest.java', 'test_name': 'matchShouldNotReturnNonExistingAddressIfSomeRecipientsExists'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/matchers/RecipientIsLocalTest.java', 'test_name': 'matchShouldNotMatchMailWithNoRecipient'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/matchers/SMTPAuthSuccessfulTest.java', 'test_name': 'matchShouldReturnRecipientsWhenAuthUserAttributeIsPresent'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/matchers/SMTPAuthUserIsTest.java', 'test_name': 'testAttributeIsNotMatched'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mailet/standard/src/test/java/org/apache/james/transport/matchers/SenderHostIsTest.java', 'test_name': 'parseDomainsListShouldParseWhenOnlyOneDomain'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mpt/core/src/test/java/org/apache/james/mpt/api/ImapFeaturesTest.java', 'test_name': 'supportedFeaturesShouldReturnEmptySetWhenNoFeatures'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/mpt/core/src/test/java/org/apache/james/mpt/api/ImapFeaturesTest.java', 'test_name': 'supportsShouldReturnTrueOnNamespaceWhenNamespaceIsSupported'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/protocols/imap/src/test/java/org/apache/james/imap/processor/base/SelectedMailboxImplTest.java', 'test_name': 'applicableFlagsShouldBeWellUpdatedWhenConcurrentWithCreation'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/protocols/smtp/src/test/java/org/apache/james/protocols/smtp/core/fastfail/MaxRcptHandlerTest.java', 'test_name': 'testRejectMaxRcpt'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/protocols/smtp/src/test/java/org/apache/james/protocols/smtp/core/fastfail/ValidSenderDomainHandlerTest.java', 'test_name': 'testNullSenderNotReject'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cassandra-app/src/test/java/org/apache/james/CassandraNodeConfTest.java', 'test_name': 'serverShouldStartServiceWhenNodeIsReachable'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cassandra-app/src/test/java/org/apache/james/CassandraNodeConfTest.java', 'test_name': 'serverShouldStartServiceWhenNodeIsReachable'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cassandra-app/src/test/java/org/apache/james/CassandraNodeConfTest.java', 'test_name': 'configShouldWorkWithNonDefaultPort'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cli/src/test/java/org/apache/james/cli/type/CmdTypeTest.java', 'test_name': 'lookupAddUserShouldReturnEnumValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cli/src/test/java/org/apache/james/cli/type/CmdTypeTest.java', 'test_name': 'lookupAddDomainShouldReturnEnumValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cli/src/test/java/org/apache/james/cli/type/CmdTypeTest.java', 'test_name': 'lookupListDomainsShouldReturnEnumValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cli/src/test/java/org/apache/james/cli/type/CmdTypeTest.java', 'test_name': 'lookupAddAddressMappingShouldReturnEnumValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cli/src/test/java/org/apache/james/cli/type/CmdTypeTest.java', 'test_name': 'lookupRemoveRegexMappingShouldReturnEnumValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cli/src/test/java/org/apache/james/cli/type/CmdTypeTest.java', 'test_name': 'lookupDeleteUserMailboxesShouldReturnEnumValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cli/src/test/java/org/apache/james/cli/type/CmdTypeTest.java', 'test_name': 'lookupDeleteMailboxShouldReturnEnumValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cli/src/test/java/org/apache/james/cli/type/CmdTypeTest.java', 'test_name': 'lookupGetGlobalMaxMessageCountQuotaShouldReturnEnumValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cli/src/test/java/org/apache/james/cli/type/CmdTypeTest.java', 'test_name': 'lookupGetMaxStorageQuotaShouldReturnEnumValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cli/src/test/java/org/apache/james/cli/type/CmdTypeTest.java', 'test_name': 'lookupGetMessageCountQuotaShouldReturnEnumValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cli/src/test/java/org/apache/james/cli/type/CmdTypeTest.java', 'test_name': 'lookupGetSieveQuotaShouldReturnEnumValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cli/src/test/java/org/apache/james/cli/type/CmdTypeTest.java', 'test_name': 'lookupSetSieveUserQuotaShouldReturnEnumValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cli/src/test/java/org/apache/james/cli/type/CmdTypeTest.java', 'test_name': 'addSieveScriptShouldReturnEnumValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/cli/src/test/java/org/apache/james/cli/type/CmdTypeTest.java', 'test_name': 'lookupNullShouldReturnNull'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/apps/distributed-app/src/test/java/org/apache/james/CassandraRabbitMQLdapJmapJamesServerTest.java', 'test_name': 'userFromLdapShouldLoginViaImapProtocol'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/core/src/test/java/org/apache/james/server/core/MailImplTest.java', 'test_name': 'mailImplConstructionWithMimeMessageShouldNotOverwriteMessageId'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/core/src/test/java/org/apache/james/server/core/MailImplTest.java', 'test_name': 'deriveNewNameShouldThrowWhenMoreThan8NestedCallsAndSmallInitialValue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/core/src/test/java/org/apache/james/server/core/MimeMessageInputStreamSourceTest.java', 'test_name': 'streamWith1MBytesShouldBeReadable'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/core/src/test/java/org/apache/james/server/core/MimeMessageTest.java', 'test_name': 'testSimpleMessage'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/core/src/test/java/org/apache/james/server/core/MimeMessageWrapperTest.java', 'test_name': 'testDeferredHeaderLoading'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/core/src/test/java/org/apache/james/server/core/filesystem/SimpleUrlTest.java', 'test_name': 'simplifiedShouldReturnEmptyWhenEmptyInput'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/core/src/test/java/org/apache/james/server/core/filesystem/SimpleUrlTest.java', 'test_name': 'simplifiedShouldReturnInputValueWhenAbsolutePath'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/core/src/test/java/org/apache/james/server/core/filesystem/SimpleUrlTest.java', 'test_name': 'simplifiedShouldCollapseComplexePathWhenContainingParentDirElement'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/core/src/test/java/org/apache/james/server/core/filesystem/SimpleUrlTest.java', 'test_name': 'simplifiedShouldCollapseComplexePathWhenContainingParentDirElementInRelativePathWithoutDoubleSlashes'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/filesystem-api/src/test/java/org/apache/james/filesystem/api/AbstractFileSystemTest.java', 'test_name': 'protocolOnlyShouldReturnEmptyPathFile'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/guice/common/src/test/java/org/apache/james/utils/ConfigurablesTest.java', 'test_name': 'addShouldNotStoreTwoTimesWhenSameConfigurable'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/guice/common/src/test/java/org/apache/james/utils/GuiceProbeProviderTest.java', 'test_name': 'getProbeShouldReturnRightProbe'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/lifecycle-api/src/test/java/org/apache/james/lifecycle/api/LeakAwareTest.java', 'test_name': 'resourceShouldNotBeDetectedLeakWhenLevelIsNone'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/mailbox-jmx/src/test/java/org/apache/james/adapter/mailbox/MailboxManagementTest.java', 'test_name': 'deleteMailboxesShouldDeleteMailboxes'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/mailbox-jmx/src/test/java/org/apache/james/adapter/mailbox/MailboxManagementTest.java', 'test_name': 'deleteMailboxesShouldDeleteMailboxesChildren'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/mailbox-jmx/src/test/java/org/apache/james/adapter/mailbox/MailboxManagementTest.java', 'test_name': 'listMailboxesShouldReturnUserMailboxes'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/mailbox-jmx/src/test/java/org/apache/james/adapter/mailbox/MailboxManagementTest.java', 'test_name': 'deleteMailboxShouldNotDeleteGivenMailboxIfWrongNamespace'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/mailbox-jmx/src/test/java/org/apache/james/adapter/mailbox/MailboxManagementTest.java', 'test_name': 'deleteMailboxShouldNotDeleteGivenMailboxIfWrongName'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/util/src/test/java/org/apache/james/util/FunctionalUtilsTest.java', 'test_name': 'shouldKeepTrue'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/util/src/test/java/org/apache/james/util/ReactorUtilsTest.java', 'test_name': 'throttleShouldNotOverwriteErrorHandling'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/util/src/test/java/org/apache/james/util/ReactorUtilsTest.java', 'test_name': 'givenALongFluxBytesWhenIReadItPartiallyBeforeClosingItThenTheOriginalFluxShouldBeDisposed'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/util/src/test/java/org/apache/james/util/ReactorUtilsTest.java', 'test_name': 'givenALongFluxBytesWhenIReadItFullyWithoutClosingItThenTheOriginalFluxShouldBeDisposed'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/container/util/src/test/java/org/apache/james/util/ReactorUtilsTest.java', 'test_name': 'exceptionsShouldCancelOriginalFluxSubscription'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/data/data-api/src/test/java/org/apache/james/dlp/api/DLPConfigurationItemTest.java', 'test_name': 'idShouldThrowOnNull'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/data/data-api/src/test/java/org/apache/james/rrt/lib/MappingTest.java', 'test_name': 'hasDomainShouldReturnTrueWhenMappingContainAtMark'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/data/data-api/src/test/java/org/apache/james/rrt/lib/MappingTest.java', 'test_name': 'hasDomainShouldReturnFalseWhenMappingDoesntContainAtMark'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/data/data-api/src/test/java/org/apache/james/rrt/lib/MappingTest.java', 'test_name': 'appendDomainShouldThrowWhenNullDomain'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/data/data-api/src/test/java/org/apache/james/rrt/lib/MappingTest.java', 'test_name': 'getTypeShouldReturnDomainWhenDomainPrefix'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/data/data-api/src/test/java/org/apache/james/rrt/lib/MappingTest.java', 'test_name': 'getTypeShouldReturnGroupWhenGroupPrefix'}
{'file_path': 'projects/atlas/SUBPROJECT/james-project/server/data/data-api/src/test/java/org/apache/james/rrt/lib/MappingTest.java', 'test_name': 'asMailAddressShouldReturnEmptyForDomain'}
